m1_idx,m2_plane,m2_roi,col1,row1,z1,x2,y2,z2,x1_in_m2,y1_in_m2,d_xy_px,d_z_um,corr,cost
76,14,12,104.82317139320902,95.09453637605039,-8.0,102.64285714285714,47.04545454545455,-15.0,104.4143610247755,94.72366768418378,47.71111227068328,7.0,0.11383669708606761,67.88437832896193
77,24,45,55.48974266803425,98.64423912557817,-2.0,41.32,111.62222222222222,5.0,55.27333267162892,98.25952659298841,19.31986353794176,7.0,0.13157907252072104,39.13828208752734
78,29,27,21.7353804158063,25.464630403186373,-6.0,21.364341085271317,24.54263565891473,15.0,21.650612432184655,25.365318344613947,0.8710672106174433,21.0,0.19668306202486308,24.287405970120183
79,29,58,234.55702506511784,53.7019020374344,10.0,210.67567567567568,29.91891891891892,15.0,233.6422526673639,53.49246461948841,32.911634958050634,5.0,0.0917079020386979,52.82747691727668
80,19,23,123.73255265481778,194.92352197008273,-26.0,106.92753623188406,195.46376811594203,-5.0,123.249995699464,194.1633202343994,16.37418235404133,21.0,0.10321691617162189,41.659844030608895
81,29,3,166.93490803909535,247.1670047784925,14.0,173.51694915254237,227.45762711864407,15.0,166.28386189774287,246.20305345985636,20.0925000920582,1.0,0.10008753955349373,38.44074930098833
82,29,71,98.98654150709129,201.83678580351636,-2.0,97.0,201.29347826086956,15.0,98.60049399521363,201.04962233888264,1.618964712216719,17.0,0.2323152120577174,22.922660471062372
83,29,25,234.36657331728483,208.42948267774076,7.333333333333333,232.74825174825176,207.55244755244755,15.0,233.4525436813474,207.61660769529757,0.7072083504556056,7.666666666666667,0.4855352192648352,13.679837298492235
84,29,35,176.24580904026755,249.31348130966958,15.0,184.07079646017698,218.4867256637168,15.0,175.5584503850105,248.34115873256187,31.044278209769207,0.0,0.08084946980835661,49.427288813602075
85,24,57,205.0560619567941,151.33185450656046,4.0,203.41860465116278,150.65116279069767,5.0,204.2563433151626,150.74166027398488,0.8426125228368834,1.0,0.39015668117365665,13.38947889936375
86,29,152,220.79255063799565,204.70096831075637,14.0,222.94444444444446,203.5793650793651,15.0,219.93145969050747,203.9026345343444,3.0302772592585265,1.0,0.2079227773909537,19.221821711439453
87,24,139,12.164069291436268,138.04809607841906,-14.0,19.3015873015873,132.33333333333334,5.0,12.116629421199667,137.50970850371323,8.855420918706786,19.0,0.13477134706018856,32.80999397750301
88,29,2,239.52439118498205,186.02497566503808,18.0,198.15454545454546,165.52727272727273,15.0,238.59024605936062,185.29947825994444,45.010954167052084,3.0,0.16063451342587753,62.848263898534526
89,24,160,124.31184489501308,200.97413401379313,-10.0,98.44554455445545,200.78217821782178,5.0,123.82702869992252,200.19033489113934,25.38838348437991,15.0,0.0842960424010423,48.952462636359066
90,14,14,163.67977590023693,7.3173179817752425,-3.3333333333333335,160.2357142857143,7.507142857142857,-15.0,163.04142477422602,7.288780441646319,2.8141949985468604,11.666666666666666,0.48115757195920084,17.274376892696175
91,24,185,246.59408265425074,101.24235088851809,5.0,237.40506329113924,52.322784810126585,5.0,245.63236573189917,100.84750572005287,49.217243368945105,0.0,0.12346202781483957,66.74800281264831
92,29,7,208.58967282651466,59.629018973367465,10.0,209.50434782608696,59.07826086956522,15.0,207.77617310249124,59.396465799371335,1.75722572614563,5.0,0.27989500715555155,17.9093255830346
93,29,21,243.33636600128537,170.56113954790288,16.0,244.7027027027027,155.52252252252254,15.0,242.38735417388034,169.89595110366605,14.558718624492787,1.0,0.09494208253605192,33.009876973771746
94,29,52,246.6406689231194,99.78570385914666,6.0,214.7829457364341,67.94573643410853,15.0,245.67877031431922,99.39653961409599,44.08746984137057,9.0,0.09385060083462644,65.36045782467804
95,29,133,169.65786015847914,148.58892981045503,6.0,140.69811320754718,133.66037735849056,15.0,168.99619450386106,148.00943298419426,31.72817048621506,9.0,0.10076899155328634,52.86279065514934
96,24,60,103.37165464043723,48.04912428145295,-9.333333333333334,103.88495575221239,47.49557522123894,5.0,102.96850518733952,47.86173269675528,0.9868905383740969,14.333333333333334,0.620813208744935,13.587293030142064
97,24,242,149.4635308154085,250.92898872870126,11.0,129.58823529411765,226.2450980392157,5.0,148.8806230452284,249.95036567265933,30.563637524228007,6.0,0.09221189361144155,50.81939965199918
98,19,3,115.18236155187078,35.40280607084757,-11.333333333333334,113.58169934640523,33.47712418300654,-5.0,114.73315034181849,35.264735127171264,2.126356574644921,6.333333333333334,0.6195172081285991,11.952679078739607
99,19,38,151.80451339330543,4.819181755339974,-3.0,151.27906976744185,5.034883720930233,-5.0,151.21247579107154,4.800386946494148,0.2437693477649264,2.0,0.5011049880131855,10.921669587501215
100,24,77,83.27654321709889,210.69133416941605,1.0,83.0,209.15625,5.0,82.9517646985522,209.86963796615532,0.715016807187768,4.0,0.46852262369872866,12.744564333213194
101,29,172,170.31512276236282,62.95136133259097,-5.0,120.96052631578948,61.11842105263158,15.0,169.6508937835896,62.70585102339386,48.71623772482315,20.0,0.08762066530077356,73.96382441880768
102,24,47,23.46088583052577,23.507225415526925,5.0,21.838926174496645,23.34228187919463,5.0,23.369388375786716,23.41554723640637,1.5322148550856087,0.0,0.4228925275632964,13.074364303819682
103,29,57,203.47123332960618,233.0063304558908,8.0,209.95967741935485,218.0483870967742,15.0,202.6776955196207,232.09760576711284,15.824278992581222,7.0,0.1529267139245222,35.215744714090775
104,24,157,27.339777404877193,147.69823215011314,0.0,27.34108527131783,146.96899224806202,5.0,27.233152272998172,147.1222090447277,0.18741643179497863,5.0,0.47077353802625,12.521945671269979
105,29,67,131.338935316953,75.94618785761966,-4.0,128.5748031496063,57.95275590551181,15.0,130.82671346921688,75.64999772497494,17.839940249454965,19.0,0.15606891927933614,41.36856186386824
106,24,39,207.44612188399392,193.21667233949054,6.0,193.4251968503937,222.4724409448819,5.0,206.63708200864636,192.4631273173665,32.78891297114678,1.0,0.1122823824702472,50.893265321741836
107,24,70,210.49305561970436,218.5070117293059,7.333333333333333,210.296875,217.3984375,5.0,209.6721327027875,217.6548343835616,0.6753090402374596,2.333333333333333,0.6947662959229848,7.596649788444431
108,19,35,168.51637913397326,105.07418584979231,-2.0,169.38823529411764,61.21176470588235,-5.0,167.85916525535077,104.66439652497812,43.47952698902494,3.0,0.11025953135379045,62.32433636194913
109,19,73,115.80653089828195,57.98582642575367,-10.0,116.21153846153847,57.86538461538461,-5.0,115.35488542777864,57.75968170269323,0.8631497703187768,5.0,0.4436856450764537,13.739436868789703
110,19,9,29.90021015371764,197.36199523883096,4.0,43.25170068027211,192.4421768707483,-5.0,29.78359933411814,196.5922834573995,14.09301736857086,9.0,0.1182858917579864,34.87729953341113
111,24,66,37.224130982360634,27.63649808868375,-2.0,78.58407079646018,29.398230088495577,5.0,37.07895687152943,27.528715746137884,41.547196846451165,7.0,0.0817222427675315,62.36275199110054
112,24,132,219.27322151997294,237.68498721116774,8.0,218.51639344262296,224.62295081967213,5.0,218.41805595604504,236.7580157610442,12.135463377744744,3.0,0.13867902125159212,30.4118829527129
113,14,21,134.0492378481214,70.94654143121922,-8.0,125.67391304347827,59.469565217391306,-15.0,133.52644582051374,70.66984991963746,13.678766334205203,7.0,0.2524862699764952,31.079040934675298
114,19,34,96.92213629812701,107.20976097645328,-6.0,99.27966101694915,105.88983050847457,-5.0,96.54413996656432,106.79164290864512,2.8803369633082676,1.0,0.3024208430304175,17.181920102699916
115,24,35,135.48186807851806,58.20223010268831,0.0,136.7314814814815,57.657407407407405,5.0,134.95348879301184,57.975241405287825,1.8061773031627302,5.0,0.5701352614173887,12.153472074814957
116,14,48,123.02669298049575,99.34866936163797,-6.0,115.33944954128441,58.357798165137616,-15.0,122.54688887787182,98.96120955112758,41.23814008864279,9.0,0.08259233364113233,62.73629341582014
117,24,189,247.92674440447564,184.3422482223205,6.0,232.5142857142857,146.01904761904763,5.0,246.9598301012982,183.62331345425346,40.28342787849586,1.0,0.14763402682613916,57.680747341973074
118,24,92,68.6724028178561,172.8545380203482,0.0,68.34482758620689,172.56034482758622,5.0,68.40458044686646,172.18040532206885,0.3846094541346925,5.0,0.6669783578879723,8.795042296375247
119,24,64,19.16305594407185,120.7257697667026,0.0,19.710743801652892,121.14876033057851,5.0,19.08832002588997,120.25493926461246,1.0891866022861556,5.0,0.5990397651771295,10.858391298743566
120,29,38,223.6886254037616,121.10181782790997,14.0,223.43795620437956,120.17518248175182,15.0,222.8162397646869,120.62952073838112,0.7700354425745951,1.0,0.4383250917230487,12.353533608113622
121,24,129,153.63437068697775,121.62134603713397,3.0,109.63157894736842,100.01315789473684,5.0,153.03519664129854,121.14702278758915,48.275400301086876,2.0,0.11194113525820557,66.73657759592277
122,19,123,6.549672731339189,76.87411229227641,0.0,19.942307692307693,121.09615384615384,-5.0,6.524129007686966,76.57430325433653,46.49992149813281,5.0,0.08533675532685121,66.54318639159578
123,29,9,148.89909253729243,34.347957789164795,10.0,157.4018691588785,39.16822429906542,15.0,148.318386076397,34.214000753787055,10.346690091344106,5.0,0.13690185052962817,29.358653080751544
124,19,12,60.04400446815879,130.23565231957656,-6.0,37.95161290322581,144.43548387096774,-5.0,59.80983285073297,129.7277332755302,26.34577208683005,1.0,0.0845499321419999,45.004773443990054
125,19,43,52.04885796953403,9.590691073327909,-8.0,17.58682634730539,32.97604790419162,-5.0,51.84586742345285,9.55328737814193,41.500694043808835,3.0,0.11112733949037902,60.32814725400125
126,29,199,250.64617484549444,55.21411679000267,4.0,245.425,8.125,15.0,249.668654763597,54.99878173452166,47.06548650389344,11.0,0.09259419944829683,69.06360251492751
127,29,107,83.49252804896139,128.04460616354243,-7.0,67.31818181818181,172.95454545454547,15.0,83.16690718957044,127.54523219950461,48.095611298663485,22.0,0.14030142615725788,72.98958277551833
128,19,32,56.54622184076848,132.5723134031107,8.0,44.729729729729726,172.45945945945945,-5.0,56.32569157558948,132.05528138083858,42.03527015899318,13.0,0.09356855471257794,64.71389906474161
129,24,11,37.55304116692338,50.56921317951417,8.0,46.61764705882353,66.0764705882353,5.0,37.40658430637237,50.371993248114066,18.20643527865832,3.0,0.13553973648313236,36.54564054899568
130,24,5,249.0278604328659,44.39162047080393,-10.0,234.3779527559055,22.503937007874015,5.0,248.05665177717773,44.218493150967795,25.66376346926003,15.0,0.0899379065220221,49.115005338819586
131,29,69,196.0200631192286,55.689550757227835,6.0,159.38888888888889,56.44444444444444,15.0,195.2555848730636,55.47236150927465,35.87986658355997,9.0,0.10190087706589879,56.991849042241995
132,24,117,249.36653059098012,96.59362742531395,2.0,245.1743119266055,76.18348623853211,5.0,248.3940011216753,96.21691227835522,20.290504119067915,3.0,0.2298768892774725,36.74296633351847
133,24,71,200.17163053564965,105.71502099258925,4.0,214.9090909090909,66.41818181818182,5.0,199.3909611765606,105.30273241071815,41.866700672242594,1.0,0.13286286655163682,59.55944334120986
134,29,48,22.742633512273862,190.3962094189568,8.0,45.51456310679612,175.5242718446602,15.0,22.653937241575992,189.65366420222287,26.874671036935908,7.0,0.09690198543309575,47.38663132827399
135,24,187,248.0067178309702,22.463307219993936,8.666666666666666,246.11111111111111,20.604938271604937,5.0,247.0394916314294,22.37570032183596,1.9993720586836332,3.666666666666666,0.5876932903301381,11.528839585414206
136,24,141,145.38607724309747,220.8777609162138,6.0,128.65925925925927,242.86666666666667,5.0,144.81907154184938,220.01633764864056,27.987087544805313,1.0,0.114147120918206,46.0541451264412
137,19,28,65.91905156699221,39.705094912473484,-18.0,28.986486486486488,71.04729729729729,-5.0,65.66196726588093,39.550245042314835,48.34413295481497,13.0,0.12307098840167487,70.43271318678147
138,24,36,229.85438530583073,140.74382616878935,10.0,214.57971014492753,111.9927536231884,5.0,228.95795320313798,140.19492524673106,31.655905574232612,5.0,0.08685558281064432,51.66879391801973
139,29,29,153.2706028433942,206.3359236281616,6.0,106.2536231884058,197.31884057971016,15.0,152.67284749230495,205.53121352601175,47.14008330905715,9.0,0.13752134373533162,67.53965643435052
140,19,6,23.52017578972378,135.21859108443346,-6.666666666666667,24.082608695652173,136.83913043478262,-5.0,23.428447104143856,134.69123857920417,2.245298824447412,1.666666666666667,0.6500181569534309,9.828269018712128
141,24,232,40.80486604088729,203.2067038149669,9.0,41.45669291338583,203.10236220472441,5.0,40.64572706332783,202.4141976700885,1.0635958051303873,4.0,0.3332720745765338,15.79815431359971
142,24,140,40.479520178890525,91.02066966480149,-8.0,40.99180327868852,96.10655737704919,5.0,40.32165005019285,90.66568905310876,5.481984446176532,13.0,0.37263613519300975,22.579261742316337
143,19,14,126.35465413551762,54.85901894121476,-4.0,125.15602836879432,53.91489361702128,-5.0,125.8618709843891,54.64506876734402,1.0155636603081637,1.0,0.6342382813339986,8.680798033628191
144,24,87,214.8759244462592,17.57590555675306,4.0,214.6875,17.53125,5.0,214.0379083409188,17.50735952508172,0.6500308287609904,1.0,0.5787634862463719,9.424761103833553
145,14,5,148.2427444809552,13.280774562974571,-12.0,142.37062937062936,12.356643356643357,-15.0,147.66459777747946,13.22897954217897,5.365358507436553,3.0,0.5630695101704374,15.153968304027805
146,29,33,11.903499576672676,159.3201653978212,10.0,27.311377245508982,154.85029940119762,15.0,11.857075928323653,158.6988167527697,15.926283778951934,5.0,0.18898106073413815,33.89666256426917
147,14,13,77.84419716376149,29.81686447950684,-8.0,78.45394736842105,28.019736842105264,-15.0,77.54060479482283,29.700578708036762,1.9129621101880496,7.0,0.41662382733888037,16.03048556341044
148,24,38,45.264045365445256,174.89870588117589,4.0,44.89473684210526,174.57894736842104,5.0,45.08751558852002,174.2166009282393,0.4104370692099151,1.0,0.4562210275793804,11.63601651762231
149,14,18,41.44415439745221,86.07063825116593,-6.0,40.63768115942029,83.8768115942029,-15.0,41.28252219530214,85.73496276198638,1.966861897513975,9.0,0.48464487885452917,15.42396432042339
150,19,25,171.50329302195632,49.11337376433405,-2.0,170.08823529411765,49.63235294117647,-5.0,170.83443017917068,48.92183160665314,1.0303627386955112,3.0,0.33473870886641904,15.385588561367129
