m2_plane,m2_roi,col,row,z_old,best_z,z_activity,z_parallax,z_source,parallax_rms_px,best_r,n_pass,primary_view,r_v1,r_v2,r_v3,r_v4,plane_z_prior
24,130,187.8289404627414,48.048147268016145,3.0,4.0,0.0,4.0,parallax,1.0371237681109933,0.8776935611691663,4,3,0.822762760567344,0.877292737418811,0.8776935611691663,0.8150701534951712,5.0
24,132,218.3719440243178,224.5024102195283,1.0,6.0,4.0,6.0,parallax,1.119484429001524,0.8121110697226297,4,3,0.6455366157303954,0.8121110697226297,0.6930220606177758,0.589523720392985,5.0
24,139,19.377158218639998,132.85145400394873,3.0,2.0,4.0,2.0,parallax,1.4285411183098582,0.6824500074931424,4,2,0.5176502669157398,0.6361431227479732,0.6824500074931424,0.6320729436688154,5.0
24,141,128.16299493952343,245.81755513168022,9.0,4.0,4.0,4.0,parallax,1.322875655532298,0.6941456560402307,4,1,0.6404012728568033,0.6072131586142078,0.6755648368117371,0.6941456560402307,5.0
24,147,139.3238904454646,132.88970621788613,5.0,6.0,2.0,6.0,parallax,1.0462088680724937,0.6659565770285547,4,3,0.45251724810350846,0.5230522240292219,0.6659565770285547,0.5688491352892752,5.0
24,153,215.81758656741087,140.0637009589926,7.0,8.0,8.0,8.0,parallax,1.0,0.7664019667924096,4,1,0.6632050563602293,0.7664019667924096,0.7349563657747119,0.7005872768114411,5.0
24,155,213.29465908779778,100.77364697526967,7.0,6.0,4.0,6.0,parallax,1.079053883255777,0.6622324861183939,4,1,0.5590010029436843,0.6040009663525461,0.49306886054367405,0.6622324861183939,5.0
24,157,27.44813298997875,147.54441546838873,7.0,2.0,2.0,2.0,parallax,0.7071067811865476,0.6829903389424516,4,2,0.5870000701353314,0.6829903389424516,0.6829791790709192,0.5765530163221034,5.0
24,160,96.83098539750573,201.56829456663164,5.0,6.0,2.0,6.0,parallax,2.039652652548411,0.5229053713586672,4,2,0.5229053713586672,0.4751848031963001,0.44735131118931426,0.4771145549516832,5.0
24,163,175.23636299213996,4.047113153061646,3.0,-4.0,-2.0,-4.0,parallax,1.958102911113131,0.7499924578320635,4,2,0.47771354935826466,0.7499924578320635,0.5798097704148253,0.6119040720595538,5.0
24,168,159.19338163937394,81.47069846912764,5.0,2.0,0.0,2.0,parallax,1.2879204497278238,0.6130354634809504,4,2,0.32815107851830516,0.5689246794014559,0.6130354634809504,0.21312650810541048,5.0
24,170,214.6409998996085,49.55779645882099,-9.0,4.0,12.0,4.0,parallax,1.2784267844646382,0.5294395340312883,4,2,0.166583042972172,0.45415283174064985,0.5294395340312883,0.30518165463721947,5.0
24,171,196.50632240512775,100.82686621969826,5.0,8.0,2.0,8.0,parallax,1.0496959472233955,0.6753820691229355,4,1,0.507601604994794,0.6753820691229355,0.6744349855441312,0.5994252339583493,5.0
24,172,126.14312096245123,17.552928514228746,5.0,0.0,4.0,0.0,parallax,1.4203406322879086,0.6689885739612496,4,2,0.33080658449929096,0.6559400073988946,0.6689885739612496,0.48846617905834117,5.0
24,175,64.60318677184453,102.89232958031272,-5.0,2.0,-4.0,2.0,parallax,1.3120208652233085,0.6185444560465794,4,2,0.3594773881999403,0.6185444560465794,0.6022551497472025,0.5017551399856143,5.0
24,177,82.71955282088696,237.284186955079,17.0,4.0,4.0,4.0,parallax,1.7320508075688772,0.600832140942276,4,3,0.4670039408371616,0.3736730715735948,0.4872568994461411,0.600832140942276,5.0
24,180,223.85151553423944,204.41010262604806,9.0,6.0,4.0,6.0,parallax,1.422146540286633,0.6262139953180438,4,1,0.5620929707598848,0.5091344752646126,0.4872453667059785,0.6262139953180438,5.0
24,185,239.3345681067556,56.527642616330276,1.0,14.0,4.0,14.0,parallax,1.0488599316213327,0.6578344392262424,4,1,0.54130032523431,0.6578344392262424,0.5499377676398579,0.6445384702732311,5.0
