plane_id,new_roi_idx,old_roi_idx,snr,out_dir
24,35,54,1.694724245991157,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,36,57,1.615983499330233,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,37,58,1.5200052512250626,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,38,59,1.9014449521706456,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,39,60,2.2581577121776055,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,40,61,1.6414064623220743,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,41,62,1.501233957619478,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,42,63,1.5604235014912275,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,43,64,1.99874532361179,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,44,66,1.4780954142051577,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,45,68,2.64979674321289,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,46,70,2.9517390788448736,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,47,71,1.3100242688334178,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,48,73,1.3974332281525024,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,49,77,1.8466026585191462,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,50,81,1.7560584688262484,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,51,86,1.8264622366973666,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,52,87,2.0647392852770166,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,53,88,1.7008628177813727,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
