Time,Data
20231230_175431399,578.41mm;     0.00mm/s;
20231230_175431502,578.41mm;     0.00mm/s;
20231230_175431604,578.41mm;     0.00mm/s;
20231230_175431706,578.41mm;     0.00mm/s;
20231230_175431807,578.41mm;     0.00mm/s;
20231230_175431908,578.41mm;     0.00mm/s;
20231230_175432010,578.41mm;     0.00mm/s;
20231230_175432111,578.41mm;     0.00mm/s;
20231230_175432213,578.41mm;     0.00mm/s;
20231230_175432315,578.41mm;     0.00mm/s;
20231230_175432416,578.41mm;     0.00mm/s;
20231230_175432518,578.41mm;     0.00mm/s;
20231230_175432619,578.41mm;     0.00mm/s;
20231230_175432721,578.41mm;     0.00mm/s;
20231230_175432772,578.41mm;     0.00mm/s;
20231230_175432874,578.41mm;     0.00mm/s;
20231230_175432975,578.41mm;     0.00mm/s;
20231230_175433078,578.41mm;     0.00mm/s;
20231230_175433179,578.41mm;     0.00mm/s;
20231230_175433280,578.41mm;     0.00mm/s;
20231230_175433382,578.41mm;     0.00mm/s;
20231230_175433484,578.41mm;     0.00mm/s;
20231230_175433585,578.41mm;     0.00mm/s;
20231230_175433687,578.41mm;     0.00mm/s;
20231230_175433788,578.41mm;     0.00mm/s;
20231230_175433891,578.41mm;     0.00mm/s;
20231230_175433992,578.41mm;     0.00mm/s;
20231230_175434094,578.41mm;     0.00mm/s;
20231230_175434195,578.41mm;     0.00mm/s;
20231230_175434297,578.41mm;     0.00mm/s;
20231230_175434398,578.41mm;     0.00mm/s;
20231230_175434500,578.41mm;     0.00mm/s;
20231230_175434602,578.41mm;     0.00mm/s;
20231230_175434704,578.41mm;     0.00mm/s;
20231230_175434806,578.41mm;     0.00mm/s;
20231230_175434908,578.41mm;     0.00mm/s;
20231230_175435009,578.41mm;     0.00mm/s;
20231230_175435111,578.41mm;     0.00mm/s;
20231230_175435212,578.41mm;     0.00mm/s;
20231230_175435313,578.41mm;     0.00mm/s;
20231230_175435414,578.41mm;     0.00mm/s;
20231230_175435466,578.41mm;     0.00mm/s;
20231230_175435568,578.41mm;     0.00mm/s;
20231230_175435670,578.41mm;     0.00mm/s;
20231230_175435773,578.41mm;     0.00mm/s;
20231230_175435875,578.41mm;     0.00mm/s;
20231230_175435977,578.41mm;     0.00mm/s;
20231230_175436079,578.41mm;     0.00mm/s;
20231230_175436181,578.41mm;     0.00mm/s;
20231230_175436282,578.41mm;     0.00mm/s;
20231230_175436383,578.41mm;     0.00mm/s;
20231230_175436485,578.41mm;     0.00mm/s;
20231230_175436586,578.41mm;     0.00mm/s;
20231230_175436689,578.41mm;     0.00mm/s;
20231230_175436791,578.41mm;     0.00mm/s;
20231230_175436893,578.41mm;     0.00mm/s;
20231230_175436994,578.41mm;     0.00mm/s;
20231230_175437097,578.41mm;     0.00mm/s;
20231230_175437199,578.41mm;     0.00mm/s;
20231230_175437300,578.41mm;     0.00mm/s;
20231230_175437402,578.41mm;     0.00mm/s;
20231230_175437504,578.41mm;     0.00mm/s;
20231230_175437605,578.41mm;     0.00mm/s;
20231230_175437706,578.41mm;     0.00mm/s;
20231230_175437809,578.41mm;     0.00mm/s;
20231230_175437910,578.41mm;     0.00mm/s;
20231230_175438012,578.41mm;     0.00mm/s;
20231230_175438063,578.41mm;     0.00mm/s;
20231230_175438168,578.41mm;     0.00mm/s;
20231230_175438269,578.41mm;     0.00mm/s;
20231230_175438372,578.41mm;     0.00mm/s;
20231230_175438474,578.41mm;     0.00mm/s;
20231230_175438575,578.41mm;     0.00mm/s;
20231230_175438677,578.41mm;     0.00mm/s;
20231230_175438779,578.41mm;     0.00mm/s;
20231230_175438882,578.41mm;     0.00mm/s;
20231230_175438984,578.41mm;     0.00mm/s;
20231230_175439085,578.41mm;     0.00mm/s;
20231230_175439187,578.41mm;     0.00mm/s;
20231230_175439290,578.41mm;     0.00mm/s;
20231230_175439392,578.41mm;     0.00mm/s;
20231230_175439493,578.41mm;     0.00mm/s;
20231230_175439595,578.41mm;     0.00mm/s;
20231230_175439697,578.41mm;     0.00mm/s;
20231230_175439799,578.41mm;     0.00mm/s;
20231230_175439901,578.41mm;     0.00mm/s;
20231230_175440003,578.41mm;     0.00mm/s;
20231230_175440105,578.41mm;     0.00mm/s;
20231230_175440206,578.41mm;     0.00mm/s;
20231230_175440308,578.41mm;     0.00mm/s;
