m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
24,254,recovered_bin,146.43129711250222,92.63007449483091,5.0,0.36986803901825754,2,-1,,0.0,4,1
29,0,matched_trusted,38.222385269949655,147.98055785909256,7.5,0.5271757865498562,1,2,1.0908487853279618,7.5,,1
29,1,matched_trusted,234.19457054101554,25.851409335824062,14.0,0.6402696183259088,1,1,2.0711712202055224,1.0,,1
29,2,recovered_bin,198.9303739128054,166.17535661808327,15.0,0.5069624350867356,2,-1,,0.0,4,1
29,3,matched_trusted,173.807174293105,229.68151515298467,16.5,0.5145178148678187,1,19,1.383539336280295,1.5,,1
29,5,recovered_bin,22.592008834454372,173.86863210967218,5.0,0.5369031173449017,2,-1,,10.0,4,1
29,6,recovered_bin,80.9109726406267,222.67010654529767,19.0,0.48452319199648974,1,-1,,4.0,4,1
29,7,recovered_bin,208.3246138199849,57.30956818548863,15.0,0.31517774012052574,4,-1,,0.0,4,1
29,9,recovered_bin,158.01813990450609,39.321578455040076,15.0,0.42975763123288296,1,-1,,0.0,4,1
29,12,recovered_bin,208.94496667082925,42.31135575084292,19.0,0.4167725358830505,1,-1,,4.0,4,1
29,13,matched_trusted,191.99181526335656,226.83173545266197,23.5,0.4245242291731966,1,27,2.6145061528964537,8.5,,1
29,15,recovered_bin,146.84582950429754,46.465832129922084,3.0,0.552166064816702,1,-1,,12.0,4,1
29,16,recovered_bin,42.544824816785464,194.3421916904499,9.0,0.44721166661703393,2,-1,,6.0,4,1
29,21,matched_trusted,244.43331706646944,158.27994807583926,20.0,0.6040676002305811,1,25,2.4647734275400985,5.0,,1
29,22,matched_trusted,236.5800856189266,123.36224413704886,20.0,0.4634277623963698,1,45,3.2160216515409283,5.0,,1
29,23,matched_trusted,203.69679035136105,153.5404518457572,18.666666666666668,0.4617212180559652,1,43,2.9214616171753818,3.666666666666668,,1
29,25,recovered_bin,234.65952389142834,207.36507133063702,9.0,0.5805216335251729,3,-1,,6.0,4,1
29,27,recovered_bin,19.447988239404996,24.6387266930175,25.0,0.324304700166787,3,-1,,10.0,4,1
29,28,recovered_bin,213.589033984677,114.39094262495527,13.0,0.3638759193773595,2,-1,,2.0,4,1
29,29,recovered_bin,106.66963476398534,198.09139702811981,25.0,0.3693782708338663,1,-1,,10.0,4,1
29,30,recovered_bin,144.5197269350467,15.167725558248598,15.0,0.5463250859373295,1,-1,,0.0,4,1
29,31,recovered_bin,171.55977557758274,148.58968909564913,13.0,0.5446679314627874,2,-1,,2.0,4,1
29,33,recovered_bin,27.418308649241023,155.45658006344505,19.0,0.5169568330954879,1,-1,,4.0,4,1
29,35,recovered_bin,183.79148324483182,220.34216008806024,11.0,0.473323002585198,1,-1,,4.0,4,1
29,36,matched_trusted,234.87329670140375,225.09464675028585,15.333333333333334,0.45450298188279203,1,33,1.8131994689564566,0.3333333333333339,,1
29,37,recovered_bin,12.103202489709869,218.16283505672124,9.0,0.29368871641966027,1,-1,,6.0,4,1
29,38,matched_trusted,223.97306520054582,122.09895400426777,20.0,0.414445853414866,2,121,1.4866099459764746,5.0,,1
29,40,recovered_bin,195.69568459850558,125.53721418293249,15.0,0.28526129176442966,3,-1,,0.0,4,1
29,41,recovered_bin,227.8984510856709,167.72308555088983,15.0,0.6259951724192799,1,-1,,0.0,4,1
29,44,recovered_bin,146.53338496326148,214.21075049837222,9.0,0.49189843731632915,1,-1,,6.0,4,1
29,45,recovered_bin,70.50413278452632,208.82831933429264,11.0,0.39262982869886426,4,-1,,4.0,4,1
29,47,recovered_bin,60.878648101642206,212.8147101941848,19.0,0.41641232356596497,1,-1,,4.0,4,1
29,48,recovered_bin,44.692764889866595,176.2114966817189,15.0,0.3311236966288213,2,-1,,0.0,4,1
29,52,recovered_bin,214.62387886400373,70.21176230710624,13.0,0.4159329965326527,2,-1,,2.0,4,1
29,54,recovered_bin,187.94460118600472,28.56748906943978,21.0,0.30001397417251574,4,-1,,6.0,4,1
29,56,matched_trusted,14.543514377617022,81.52410220616706,7.0,0.6032477564221076,1,59,0.39074845665389585,8.0,,1
29,57,recovered_bin,209.78172615134508,218.90210530747336,9.0,0.6391522889789827,2,-1,,6.0,4,1
29,58,recovered_bin,211.50052773383766,30.036059551168478,13.0,0.4186886968042072,1,-1,,2.0,4,1
29,61,recovered_bin,10.120277161738864,172.22724179856996,7.0,0.3485198505766672,1,-1,,8.0,4,1
29,62,recovered_bin,136.2314101920567,60.31925719095682,15.0,0.38084257184189657,1,-1,,0.0,4,1
29,63,recovered_bin,8.711393790622136,86.74961381646486,13.0,0.5416135887658392,3,-1,,2.0,4,1
29,66,recovered_bin,110.21466421747519,9.777475397292685,15.0,0.4464595566395886,1,-1,,0.0,4,1
29,67,recovered_bin,129.07820816143592,55.179656566119675,15.0,0.5070267310448401,1,-1,,0.0,4,1
29,69,recovered_bin,160.0129393523631,56.665439659114995,15.0,0.38623349040142224,2,-1,,0.0,4,1
29,70,recovered_bin,170.36691028896996,51.06692962056151,9.0,0.33769701364354004,1,-1,,6.0,4,1
29,71,recovered_bin,97.37978114647125,202.08159648716952,15.0,0.25695273706499056,4,-1,,0.0,3,1
29,72,recovered_bin,246.80123449193792,19.974675427716484,15.0,0.452882759238474,3,-1,,0.0,4,1
29,76,recovered_bin,81.90597175136881,238.7773856501896,17.0,0.3462509878489195,1,-1,,2.0,4,1
29,77,recovered_bin,55.15159917328374,127.24632893682185,9.0,0.31561809904268806,1,-1,,6.0,4,1
29,79,recovered_bin,240.15679498668663,12.885114331212831,13.0,0.4134380184115737,1,-1,,2.0,4,1
29,80,recovered_bin,215.57543808608676,139.4788429978959,21.0,0.38864574961987103,1,-1,,6.0,4,1
29,90,recovered_bin,19.827326573637187,133.69381968989404,15.0,0.388186880782011,3,-1,,0.0,4,1
29,92,matched_trusted,129.23419784144653,220.60593859682922,6.0,0.5964674513266361,3,178,1.3934917762346362,9.0,,1
29,95,recovered_bin,67.56994378918117,238.14726171564902,15.0,0.38920766258192013,2,-1,,0.0,4,1
29,107,recovered_bin,67.58175064570004,173.63170912011392,7.0,0.4782868155457095,2,-1,,8.0,4,1
29,109,failed,,,,0.20938076863264352,,-1,,,3,0
29,110,recovered_bin,87.26116201010026,237.18589455397793,13.0,0.37875470805865596,3,-1,,2.0,4,1
29,114,recovered_bin,43.68608676199382,220.687452719148,17.0,0.32638263959276603,1,-1,,2.0,4,1
29,133,recovered_bin,141.248984246107,134.18369376417084,11.0,0.3099295626780142,2,-1,,4.0,4,1
29,149,recovered_bin,93.86216243349061,97.85752947132113,13.0,0.3627737539263677,1,-1,,2.0,4,1
29,152,recovered_bin,223.8173320393981,204.3764331687231,15.0,0.3468356304361983,1,-1,,0.0,3,1
29,154,matched_trusted,240.03011958237283,198.92260133566492,3.0,0.4432728028705125,1,29,3.5935590363747116,12.0,,1
29,172,recovered_bin,120.43411938137685,60.35771614559942,15.0,0.4415205262169354,1,-1,,0.0,4,1
29,199,recovered_bin,245.38590502961551,6.156811565103906,13.0,0.3485594489139902,4,-1,,2.0,4,1
