m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted,snr
24,114,recovered_bin_refined,66.33714624289631,162.44726984258216,2.0,0.5715804295001093,3,-1,,3.0,4,1,1.3947463685788866
24,115,recovered_bin_refined,203.75152750900926,82.04493386275439,6.0,0.6508990189693609,1,-1,,1.0,4,1,1.3912403259131392
24,116,recovered_bin_refined,142.02778614373838,146.11761425113497,6.0,0.6168519078653798,1,-1,,1.0,4,1,1.3528835212088686
24,117,recovered_bin_refined,244.13423544484039,76.4817651225099,8.0,0.8517898311927847,3,-1,,3.0,4,1,2.3682101297782894
24,118,recovered_bin_refined,72.2105210320249,226.98132717598634,8.0,0.4989103311716065,3,-1,,3.0,4,1,1.383767263481215
24,128,recovered_bin_refined,65.1881337215139,62.46752334103002,6.0,0.56099051870828,3,-1,,1.0,4,1,1.4336351879417288
24,129,recovered_bin_refined,109.0608161302765,100.40473636656644,-2.0,0.6481282240289553,2,-1,,7.0,4,1,1.6354622462935091
24,130,recovered_bin_refined,187.8289404627414,48.048147268016145,4.0,0.8776935611691663,3,-1,,1.0,4,1,3.2360471005624367
24,132,recovered_bin_refined,218.3719440243178,224.5024102195283,6.0,0.8121110697226297,3,-1,,1.0,4,1,1.8738636350964688
24,139,recovered_bin_refined,19.377158218639998,132.85145400394873,2.0,0.6824500074931424,2,-1,,3.0,4,1,1.5905359669726733
24,140,recovered_bin_refined,41.15229723791639,96.48284045482299,0.0,0.7422139069372122,2,-1,,5.0,4,1,1.582278960398672
24,141,recovered_bin_refined,128.16299493952343,245.81755513168022,4.0,0.6941456560402307,1,-1,,1.0,4,1,1.8106800433575552
24,142,recovered_bin_refined,23.384432368945657,238.52422945728944,4.0,0.659029821878125,2,-1,,1.0,4,1,1.4870739289650083
24,147,recovered_bin_refined,139.3238904454646,132.88970621788613,6.0,0.6659565770285547,3,-1,,1.0,4,1,1.4958415213437932
24,152,recovered_bin_refined,118.50565029702797,58.259822001457856,-2.0,0.7782170674105725,2,-1,,7.0,4,1,1.4920969056554654
24,153,recovered_bin_refined,215.81758656741087,140.0637009589926,8.0,0.7664019667924096,1,-1,,3.0,4,1,1.9221239665893162
24,155,matched_trusted,212.26084095080688,97.54018202380487,2.0,0.4002147082182319,4,201,1.6031379982319205,3.0,,1,1.4136006337930997
24,157,matched_trusted,27.339777404877193,147.69823215011314,0.0,0.47077353802625,2,104,0.18741643179497863,5.0,,1,1.6078721418858557
24,160,recovered_bin_refined,96.83098539750573,201.56829456663164,6.0,0.5229053713586672,2,-1,,1.0,4,1,1.400352180573033
24,163,recovered_bin_refined,175.23636299213996,4.047113153061646,-4.0,0.7499924578320635,2,-1,,9.0,4,1,1.563359880427837
24,168,recovered_bin_refined,159.19338163937394,81.47069846912764,2.0,0.6130354634809504,2,-1,,3.0,4,1,1.4374172561494183
24,170,recovered_bin_refined,214.6409998996085,49.55779645882099,4.0,0.5294395340312883,2,-1,,1.0,4,1,1.290038240597406
24,171,matched_trusted,194.96754184916512,100.2371131486243,6.0,0.4147830127515531,3,185,1.4779652928826366,1.0,,1,1.494552924797969
24,172,recovered_bin_refined,126.14312096245123,17.552928514228746,0.0,0.6689885739612496,2,-1,,5.0,4,1,1.4144200961021975
24,175,recovered_bin_refined,64.60318677184453,102.89232958031272,2.0,0.6185444560465794,2,-1,,3.0,4,1,1.377363182917532
24,177,recovered_bin_refined,82.71955282088696,237.284186955079,4.0,0.600832140942276,3,-1,,1.0,4,1,1.3520939878164533
24,180,recovered_bin_refined,223.85151553423944,204.41010262604806,6.0,0.6262139953180438,1,-1,,1.0,4,1,1.4164541301245124
24,185,recovered_bin_refined,239.3345681067556,56.527642616330276,14.0,0.6578344392262424,1,-1,,9.0,4,1,2.3654987210436262
24,187,matched_trusted,248.0067178309702,22.463307219993936,8.666666666666666,0.5876932903301381,2,135,1.9993720586836332,3.666666666666666,,1,2.2171145527672396
24,189,recovered_bin_refined,230.42464181737347,149.590751550093,10.0,0.5894196054336712,2,-1,,5.0,4,1,1.4006769368319716
24,190,matched_trusted,64.65472399410044,235.81919322110505,9.333333333333334,0.45602480289779745,1,55,4.40493295316727,4.333333333333334,,1,2.1971147071355532
24,215,matched_trusted,10.595182927213923,17.3511068837697,-4.5,0.5317527703356861,1,62,1.3906573131693605,9.5,,1,2.172005562067096
24,227,recovered_bin_refined,94.74183076374096,219.19148043707094,4.0,0.6636261285559223,1,-1,,1.0,4,1,1.4718953991365984
24,232,recovered_bin_refined,41.619007040845126,205.8975626992515,6.0,0.6591645244925608,2,-1,,1.0,4,1,1.858446417374186
24,238,recovered_bin_refined,155.27681244524882,18.657906932928835,-2.0,0.6080614325602578,4,-1,,7.0,4,1,1.3481275158805297
24,239,recovered_bin_refined,146.3245783555868,224.0103654251581,4.0,0.5505300592037419,1,-1,,1.0,4,1,1.5839001434398352
24,242,recovered_bin_refined,129.0956081659649,226.13090858268816,0.0,0.7532521790784739,2,-1,,5.0,4,1,2.048116721067476
24,254,recovered_bin_refined,144.43129711250222,92.63007449483091,8.0,0.6212483784663201,3,-1,,3.0,4,1,1.4166452583219442
29,2,recovered_bin_refined,200.9303739128054,168.17535661808327,14.0,0.8210841418325037,1,-1,,1.0,4,1,1.892015677259578
29,5,recovered_bin_refined,24.592008834454372,171.86863210967218,2.0,0.8475834859280461,3,-1,,13.0,4,1,2.091256829972432
29,7,recovered_bin_refined,212.3246138199849,61.30956818548863,14.0,0.6338963281618716,1,-1,,1.0,4,1,1.4196244446784256
29,9,recovered_bin_refined,156.01813990450609,37.321578455040076,8.0,0.7292322694533074,3,-1,,7.0,4,1,1.3993499289195008
29,22,recovered_bin_refined,235.0435173366606,122.16706424898373,12.0,0.7400565562050667,2,-1,,3.0,4,1,1.7567921748992155
29,27,recovered_bin_refined,25.447988239404996,26.6387266930175,12.0,0.7239945420594902,1,-1,,3.0,4,1,1.4156322657933866
29,28,recovered_bin_refined,215.589033984677,114.39094262495527,10.0,0.6696005489233263,1,-1,,5.0,4,1,1.5459585504279048
29,29,recovered_bin_refined,106.66963476398534,196.09139702811981,2.0,0.7345716708489308,3,-1,,13.0,4,1,1.5793150595372105
29,30,recovered_bin_refined,144.5197269350467,17.1677255582486,10.0,0.8018585234084993,1,-1,,5.0,4,1,1.557793098881636
29,31,recovered_bin_refined,169.55977557758274,146.58968909564913,10.0,0.7404069745831644,3,-1,,5.0,4,1,1.605037495689477
29,33,recovered_bin_refined,25.418308649241023,153.45658006344505,12.0,0.7970842387716723,3,-1,,3.0,4,1,1.5656690721272013
29,36,matched_trusted,235.29698147956734,223.39105956538006,7.333333333333333,0.4512051583541497,1,33,0.2132734004851382,7.666666666666667,,1,1.6198730956005416
29,37,recovered_bin_refined,10.103202489709869,220.16283505672124,16.0,0.7280075052359224,2,-1,,1.0,4,1,2.212888997638357
29,38,matched_trusted,223.6886254037616,121.10181782790997,14.0,0.4383250917230487,2,120,0.7700354425745951,1.0,,1,1.4734143096176877
29,40,recovered_bin_refined,199.69568459850558,127.53721418293249,14.0,0.6999901941021118,1,-1,,1.0,4,1,2.6546963329975464
29,41,matched_trusted,227.19367043762668,166.38464716586057,20.666666666666668,0.5954285035350558,1,22,2.1589635949508392,5.666666666666668,,1,2.601853667605331
29,44,recovered_bin_refined,148.53338496326148,216.21075049837222,14.0,0.6938788725508297,1,-1,,1.0,4,1,1.7664080059911225
29,45,recovered_bin_refined,70.50413278452632,206.82831933429264,4.0,0.6743734571527962,3,-1,,11.0,4,1,1.427032144075353
29,47,recovered_bin_refined,58.878648101642206,212.8147101941848,12.0,0.5790520049284202,2,-1,,3.0,4,1,1.4059309315629693
29,48,recovered_bin_refined,44.692764889866595,174.2114966817189,8.0,0.6876955801016638,3,-1,,7.0,4,1,1.4077408648021126
29,52,recovered_bin_refined,216.62387886400373,70.21176230710624,12.0,0.6746438170019654,1,-1,,3.0,4,1,1.345492996044888
29,54,recovered_bin_refined,183.94460118600472,28.56748906943978,8.0,0.5986951388054426,3,-1,,7.0,4,1,1.3513068060988622
29,56,matched_trusted,14.910027019663865,80.0346423971421,3.5,0.5933194797423752,1,59,1.7201831059681505,11.5,,1,2.087088331748145
29,61,recovered_bin_refined,8.120277161738864,172.22724179856996,10.0,0.5942219594690646,2,-1,,5.0,4,1,1.3388947804219666
29,63,recovered_bin_refined,8.711393790622136,88.74961381646486,8.0,0.772286623280747,2,-1,,7.0,4,1,1.5809088911010414
29,66,recovered_bin_refined,114.21466421747519,1.7774753972926849,2.0,0.7226075865897977,3,-1,,13.0,4,1,1.4541144539580209
29,67,recovered_bin_refined,127.07820816143592,53.179656566119675,-2.0,0.7504491261617419,3,-1,,17.0,4,1,1.416365445686742
29,70,recovered_bin_refined,172.36691028896996,51.06692962056151,6.0,0.5934289329217717,1,-1,,9.0,4,1,1.3464259223648736
29,71,recovered_bin_refined,99.37978114647125,204.08159648716952,12.0,0.49986957406938165,1,-1,,3.0,4,1,1.35889040630636
